id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
281,Grand Army Plaza & Central Park S,21,59,40.7643971,-73.97371465,In Service,1,36,Grand Army Plaza & Central Park S,,,,,,false,,
282,Kent Ave & S 11 St,15,27,40.70827295,-73.96834101,In Service,1,10,Kent Ave & S 11 St,,,,,,false,,
284,Greenwich Ave & 8 Ave,27,43,40.7390169121,-74.0026376103,In Service,1,13,Greenwich Ave & 8 Ave,,,,,,false,,
285,Broadway & E 14 St,9,47,40.73454567,-73.99074142,In Service,1,37,Broadway & E 14 St,,,,,,false,,
289,Monroe St & Classon Ave,19,19,40.6845683,-73.95881081,In Service,1,0,Monroe St & Classon Ave,,,,,,false,,
290,2 Ave & E 58 St,24,28,40.76020258,-73.96478473,In Service,1,2,2 Ave & E 58 St,,,,,,false,,
291,Madison St & Montgomery St,20,20,40.713126,-73.984844,In Service,1,0,Madison St & Montgomery St,,,,,,false,,
293,Lafayette St & E 8 St,19,55,40.73028666,-73.9907647,In Service,1,34,Lafayette St & E 8 St,,,,,,false,,
294,Washington Square E,1,31,40.73049393,-73.9957214,In Service,1,30,Washington Square E,,,,,,false,,
295,Pike St & E Broadway,22,24,40.71406667,-73.99293911,In Service,1,0,Pike St & E Broadway,,,,,,false,,
296,Division St & Bowery,25,34,40.71413089,-73.9970468,In Service,1,9,Division St & Bowery,,,,,,false,,
297,E 15 St & 3 Ave,26,27,40.734232,-73.986923,In Service,1,1,E 15 St & 3 Ave,,,,,,false,,
298,3 Ave & Schermerhorn St,16,35,40.68683208,-73.9796772,In Service,1,19,3 Ave & Schermerhorn St,,,,,,false,,
300,Shevchenko Pl & E 7 St,26,55,40.728145,-73.990214,In Service,1,29,Shevchenko Pl & E 7 St,,,,,,false,,
301,E 2 St & Avenue B,16,17,40.72217444,-73.98368779,In Service,1,0,E 2 St & Avenue B,,,,,,false,,
302,Avenue D & E 3 St,21,23,40.72082834,-73.97793172,In Service,1,2,Avenue D & E 3 St,,,,,,false,,
303,Mercer St & Spring St,2,31,40.72362738,-73.99949601,In Service,1,29,Mercer St & Spring St,,,,,,false,,
304,Broadway & Battery Pl,1,36,40.70463334,-74.01361706,In Service,1,33,Broadway & Battery Pl,,,,,,false,,
305,E 58 St & 3 Ave,9,33,40.76095756,-73.96724467,In Service,1,23,E 58 St & 3 Ave,,,,,,false,,
306,Cliff St & Fulton St,13,37,40.70823502,-74.00530063,In Service,1,24,Cliff St & Fulton St,,,,,,false,,
307,Canal St & Rutgers St,28,31,40.71427487,-73.98990025,In Service,1,3,Canal St & Rutgers St,,,,,,false,,
308,St James Pl & Oliver St,22,27,40.71307916,-73.99851193,In Service,1,5,St James Pl & Oliver St,,,,,,false,,
309,Murray St & West St,14,41,40.7149787,-74.013012,In Service,1,26,Murray St & West St,,,,,,false,,
310,State St & Smith St,26,36,40.68926942,-73.98912867,In Service,1,9,State St & Smith St,,,,,,false,,
311,Norfolk St & Broome St,24,30,40.7172274,-73.98802084,In Service,1,4,Norfolk St & Broome St,,,,,,false,,
312,Allen St & E Houston St,29,31,40.722055,-73.989111,In Service,1,0,Allen St & E Houston St,,,,,,false,,
313,Washington Ave & Park Ave,16,23,40.69610226,-73.96751037,In Service,1,5,Washington Ave & Park Ave,,,,,,false,,
314,Cadman Plaza West & Montague St,27,39,40.69383,-73.990539,In Service,1,12,Cadman Plaza West & Montague St,,,,,,false,,
315,South St & Gouverneur Ln,5,29,40.70355377,-74.00670227,In Service,1,24,South St & Gouverneur Ln,,,,,,false,,
316,Fulton St & William St,19,43,40.70955958,-74.00653609,In Service,1,23,Fulton St & William St,,,,,,false,,
317,E 6 St & Avenue B,26,27,40.72453734,-73.98185424,In Service,1,0,E 6 St & Avenue B,,,,,,false,,
318,E 43 St & Vanderbilt Ave,18,31,40.75320159,-73.9779874,In Service,1,13,E 43 St & Vanderbilt Ave,,,,,,false,,
319,Park Pl & Church St,10,35,40.71336124,-74.00937622,In Service,1,23,Park Pl & Church St,,,,,,false,,
320,Leonard St & Church St,13,39,40.717571,-74.005549,In Service,1,25,Leonard St & Church St,,,,,,false,,
321,Cadman Plaza E & Red Cross Pl,12,27,40.69991755,-73.98971773,In Service,1,14,Cadman Plaza E & Red Cross Pl,,,,,,false,,
322,Clinton St & Tillary St,31,31,40.696192,-73.991218,Not In Service,3,0,Clinton St & Tillary St,,,,,,false,,
323,Lawrence St & Willoughby St,9,39,40.69236178,-73.98631746,In Service,1,28,Lawrence St & Willoughby St,,,,,,false,,
324,DeKalb Ave & Hudson Ave,5,51,40.689888,-73.981013,In Service,1,43,DeKalb Ave & Hudson Ave,,,,,,false,,
325,E 19 St & 3 Ave,31,34,40.73624527,-73.98473765,In Service,1,1,E 19 St & 3 Ave,,,,,,false,,
326,E 11 St & 1 Ave,23,27,40.72953837,-73.98426726,In Service,1,4,E 11 St & 1 Ave,,,,,,false,,
327,Vesey Pl & River Terrace,11,39,40.7153379,-74.01658354,In Service,1,27,Vesey Pl & River Terrace,,,,,,false,,
328,Watts St & Greenwich St,12,23,40.72405549,-74.00965965,In Service,1,10,Watts St & Greenwich St,,,,,,false,,
329,Greenwich St & N Moore St,16,31,40.72043411,-74.01020609,In Service,1,14,Greenwich St & N Moore St,,,,,,false,,
330,Reade St & Broadway,21,39,40.71450451,-74.00562789,In Service,1,15,Reade St & Broadway,,,,,,false,,
331,Pike St & Monroe St,25,26,40.71173107,-73.99193043,In Service,1,0,Pike St & Monroe St,,,,,,false,,
332,Cherry St,23,24,40.71219906,-73.97948148,In Service,1,1,Cherry St,,,,,,false,,
334,W 20 St & 7 Ave,13,31,40.74238787,-73.99726235,In Service,1,15,W 20 St & 7 Ave,,,,,,false,,
335,Washington Pl & Broadway,6,27,40.72903917,-73.99404649,In Service,1,21,Washington Pl & Broadway,,,,,,false,,
336,Sullivan St & Washington Sq,19,34,40.73047747,-73.99906065,In Service,1,15,Sullivan St & Washington Sq,,,,,,false,,
337,Old Slip & Front St,4,37,40.7037992,-74.00838676,In Service,1,33,Old Slip & Front St,,,,,,false,,
339,Avenue D & E 12 St,22,24,40.72580614,-73.97422494,In Service,1,1,Avenue D & E 12 St,,,,,,false,,
340,Madison St & Clinton St,26,27,40.71269042,-73.98776323,In Service,1,1,Madison St & Clinton St,,,,,,false,,
341,Stanton St & Mangin St,19,19,40.71782143,-73.97628939,In Service,1,0,Stanton St & Mangin St,,,,,,false,,
342,Columbia St & Rivington St,27,29,40.71739973,-73.98016555,In Service,1,1,Columbia St & Rivington St,,,,,,false,,
343,Clinton Ave & Flushing Ave,15,23,40.69794,-73.96986848,In Service,1,6,Clinton Ave & Flushing Ave,,,,,,false,,
344,Monroe St & Bedford Ave,17,23,40.6851443,-73.95380904,In Service,1,6,Monroe St & Bedford Ave,,,,,,false,,
345,W 13 St & 6 Ave,35,35,40.73649403,-73.99704374,In Service,1,0,W 13 St & 6 Ave,,,,,,false,,
346,Bank St & Hudson St,26,27,40.73652889,-74.00618026,In Service,1,0,Bank St & Hudson St,,,,,,false,,
347,W Houston St & Hudson St,12,35,40.72873888,-74.00748842,In Service,1,22,W Houston St & Hudson St,,,,,,false,,
348,W Broadway & Spring St,0,42,40.72490985,-74.00154702,In Service,1,41,W Broadway & Spring St,,,,,,false,,
349,Rivington St & Ridge St,23,23,40.71850211,-73.98329859,In Service,1,0,Rivington St & Ridge St,,,,,,false,,
350,Clinton St & Grand St,28,28,40.71559509,-73.9870295,In Service,1,0,Clinton St & Grand St,,,,,,false,,
351,Front St & Maiden Ln,6,39,40.70530954,-74.00612572,In Service,1,31,Front St & Maiden Ln,,,,,,false,,
352,W 56 St & 6 Ave,12,36,40.76340613,-73.97722479,In Service,1,24,W 56 St & 6 Ave,,,,,,false,,
353,S Portland Ave & Hanson Pl,27,27,40.68539567,-73.97431458,In Service,1,0,S Portland Ave & Hanson Pl,,,,,,false,,
354,Emerson Pl & Myrtle Ave,20,31,40.69363137,-73.96223558,In Service,1,10,Emerson Pl & Myrtle Ave,,,,,,false,,
355,Bayard St & Baxter St,25,43,40.71602118,-73.99974372,In Service,1,18,Bayard St & Baxter St,,,,,,false,,
356,Bialystoker Pl & Delancey St,23,23,40.71622644,-73.98261206,In Service,1,0,Bialystoker Pl & Delancey St,,,,,,false,,
357,E 11 St & Broadway,18,27,40.73261787,-73.99158043,In Service,1,8,E 11 St & Broadway,,,,,,false,,
358,Christopher St & Greenwich St,28,36,40.73291553,-74.00711384,In Service,1,6,Christopher St & Greenwich St,,,,,,false,,
359,E 47 St & Park Ave,10,55,40.75510267,-73.97498696,In Service,1,44,E 47 St & Park Ave,,,,,,false,,
360,William St & Pine St,18,39,40.70717936,-74.00887308,In Service,1,21,William St & Pine St,,,,,,false,,
361,Allen St & Hester St,40,43,40.71605866,-73.99190759,In Service,1,2,Allen St & Hester St,,,,,,false,,
362,Broadway & W 37 St,54,57,40.75172632,-73.98753523,In Service,1,2,Broadway & W 37 St,,,,,,false,,
